ID,CHECKING_BALANCE,CREDIT_HISTORY,EXISTING_SAVINGS,EXISTING_CREDITS_COUNT
291655,-566.53,ALL_CREDITS_PAID_BACK,36.42,1.0
657079,-1673.16,CREDITS_PAID_TO_DATE,22.9,1.0
256050,NO_CHECKING,CREDITS_PAID_TO_DATE,450.35,2.0
1039151,-1471.03,PRIOR_PAYMENTS_DELAYED,805.71,2.0
1002660,NO_CHECKING,CREDITS_PAID_TO_DATE,295.03,1.0
616161,,PRIOR_PAYMENTS_DELAYED,639.41,2.0
1096578,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,421.96,1.0
544178,-121.7,CREDITS_PAID_TO_DATE,22.44,1.0
356107,-124.51,ALL_CREDITS_PAID_BACK,35.07,1.0
72646,-1911.77,CREDITS_PAID_TO_DATE,56.22,1.0
1136574,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,383.57,1.0
847985,-2303.55,CREDITS_PAID_TO_DATE,5.59,1.0
1268579,NO_CHECKING,OUTSTANDING_CREDIT,572.37,2.0
543397,63.66,ALL_CREDITS_PAID_BACK,88.92,1.0
416220,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,315.54,2.0
54220,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,977.71,1.0
123368,155.93,NO_CREDITS,63.52,1.0
1163903,51.66,ALL_CREDITS_PAID_BACK,62.1,1.0
265870,147.84,ALL_CREDITS_PAID_BACK,676.64,1.0
904209,-319.01,CREDITS_PAID_TO_DATE,3.11,1.0
1147335,-1912.78,ALL_CREDITS_PAID_BACK,0.15,1.0
671455,NO_CHECKING,CREDITS_PAID_TO_DATE,645.52,1.0
391955,98.16,CREDITS_PAID_TO_DATE,319.42,2.0
1049084,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
118987,NO_CHECKING,CREDITS_PAID_TO_DATE,303.64,1.0
86177,42.83,PRIOR_PAYMENTS_DELAYED,227.4,2.0
1177670,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
635499,NO_CHECKING,OUTSTANDING_CREDIT,1221.11,1.0
1026060,127.12,CREDITS_PAID_TO_DATE,55.06,1.0
353829,132.39,CREDITS_PAID_TO_DATE,87.16,2.0
1282423,144.14,ALL_CREDITS_PAID_BACK,100.44,1.0
584707,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
100984,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
1135123,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,420.85,2.0
1205053,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,600.14,
54149,NO_CHECKING,OUTSTANDING_CREDIT,606.04,2.0
29700,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
927757,144.56,CREDITS_PAID_TO_DATE,12.82,1.0
245917,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1788.77,
320319,1.82,CREDITS_PAID_TO_DATE,38.59,1.0
183535,-1305.58,ALL_CREDITS_PAID_BACK,61.43,1.0
55574,87.96,CREDITS_PAID_TO_DATE,35.05,1.0
709259,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,3.0
470599,-18.62,ALL_CREDITS_PAID_BACK,99.72,1.0
1153172,-249.27,PRIOR_PAYMENTS_DELAYED,566.48,1.0
853181,0,PRIOR_PAYMENTS_DELAYED,379.06,1.0
360894,149.75,ALL_CREDITS_PAID_BACK,6.23,1.0
487813,-358.19,PRIOR_PAYMENTS_DELAYED,79.71,1.0
670687,-69.06,PRIOR_PAYMENTS_DELAYED,57.63,1.0
789773,NO_CHECKING,OUTSTANDING_CREDIT,967.64,2.0
560437,NO_CHECKING,OUTSTANDING_CREDIT,593.43,2.0
1221833,NO_CHECKING,CREDITS_PAID_TO_DATE,306.08,1.0
56023,-123.52,NO_CREDITS,75.57,1.0
768611,1227.33,ALL_CREDITS_PAID_BACK,549.46,1.0
507362,103.7,CREDITS_PAID_TO_DATE,9.51,1.0
