ID,CHECKING_BALANCE,PAYMENT_TERM,CREDIT_HISTORY,LOAN_PURPOSE,LOAN_AMOUNT,EXISTING_SAVINGS,EMPLOYMENT_DURATION,INSTALLMENT_PERCENT,SEX,OTHERS_ON_LOAN,CURRENT_RESIDENCE_DURATION,PROPERTY,AGE,INSTALLMENT_PLANS,HOUSING,EXISTING_CREDITS_COUNT,JOB_TYPE,DEPENDENTS,TELEPHONE,FOREIGN_WORKER,ALLOW
1078506,25.84,465,NO_CREDITS,CAR_NEW,250,38.35,0,1,F,NONE,2,REAL_ESTATE,32,STORES,OWN,1,3,1,0,1,TO_FILL
947575,-439.72,120,ALL_CREDITS_PAID_BACK,CAR_NEW,250,1.62,0,2,M,CO-APPLICANT,2,REAL_ESTATE,25,STORES,RENT,1,3,1,0,1,TO_FILL
133043,169.45,527,PRIOR_PAYMENTS_DELAYED,RADIO_TV,2207,184.97,6,2,M,NONE,3,SAVINGS_INSURANCE,32,STORES,OWN,2,1,2,0,1,TO_FILL
1031383,NO_CHECKING,720,OUTSTANDING_CREDIT,CAR_USED,5064,731.03,6,4,M,NONE,2,CAR_OTHER,49,NONE,OWN,2,3,1,0,1,TO_FILL
491563,NO_CHECKING,420,OUTSTANDING_CREDIT,FURNITURE,3763,396.26,4,3,F,NONE,3,CAR_OTHER,46,STORES,OWN,1,1,2,1,1,TO_FILL
724304,NO_CHECKING,750,PRIOR_PAYMENTS_DELAYED,APPLIANCES,1749,138.67,4,2,F,NONE,2,SAVINGS_INSURANCE,30,NONE,OWN,1,3,1,0,1,TO_FILL
582739,53.42,124,ALL_CREDITS_PAID_BACK,CAR_NEW,250,45.78,0,2,F,NONE,2,REAL_ESTATE,22,NONE,OWN,1,3,1,0,1,TO_FILL
108325,NO_CHECKING,961,OUTSTANDING_CREDIT,REPAIRS,5548,500.15,6,4,M,NONE,4,SAVINGS_INSURANCE,32,STORES,OWN,1,3,2,1,1,TO_FILL
818394,123.65,900,CREDITS_PAID_TO_DATE,RADIO_TV,3094,145.66,3,2,M,NONE,3,SAVINGS_INSURANCE,29,NONE,OWN,1,3,1,0,1,TO_FILL
1299083,62.58,527,PRIOR_PAYMENTS_DELAYED,FURNITURE,2068,23951.88,4,3,M,NONE,3,SAVINGS_INSURANCE,33,NONE,OWN,2,3,2,1,1,TO_FILL
414803,NO_CHECKING,930,OUTSTANDING_CREDIT,REPAIRS,6818,38493.31,12,5,M,CO-APPLICANT,4,CAR_OTHER,41,NONE,FREE,3,3,2,1,1,TO_FILL
180907,NO_CHECKING,1080,OUTSTANDING_CREDIT,REPAIRS,6441,813.26,18,4,M,CO-APPLICANT,4,CAR_OTHER,50,NONE,FREE,2,3,1,1,0,TO_FILL
483287,NO_CHECKING,434,CREDITS_PAID_TO_DATE,RETRAINING,7699,23.7,0,4,F,NONE,3,CAR_OTHER,37,NONE,OWN,2,2,2,0,1,TO_FILL
657504,-283.99,570,CREDITS_PAID_TO_DATE,FURNITURE,4003,5.32,0,3,M,NONE,3,SAVINGS_INSURANCE,29,NONE,OWN,1,3,1,0,1,TO_FILL
466547,61.52,120,ALL_CREDITS_PAID_BACK,CAR_NEW,250,943.22,0,1,M,NONE,1,REAL_ESTATE,24,NONE,RENT,1,3,1,0,1,TO_FILL
178096,NO_CHECKING,1116,PRIOR_PAYMENTS_DELAYED,OTHER,6595,948.63,6,3,M,NONE,3,SAVINGS_INSURANCE,38,NONE,OWN,1,3,1,0,1,TO_FILL
741584,NO_CHECKING,1054,PRIOR_PAYMENTS_DELAYED,RADIO_TV,5890,522.35,8,3,M,NONE,3,SAVINGS_INSURANCE,42,NONE,FREE,1,3,1,0,1,TO_FILL
10144,182.41,210,ALL_CREDITS_PAID_BACK,CAR_NEW,250,14.4,0,2,M,NONE,1,REAL_ESTATE,22,NONE,RENT,1,3,1,0,1,TO_FILL
120919,-105.52,120,NO_CREDITS,EDUCATION,586,33.53,1,2,F,NONE,1,REAL_ESTATE,19,NONE,RENT,1,3,1,0,1,TO_FILL
280781,83.34,510,CREDITS_PAID_TO_DATE,FURNITURE,250,43.88,6,3,F,CO-APPLICANT,3,SAVINGS_INSURANCE,52,STORES,OWN,1,1,1,1,1,TO_FILL
204044,NO_CHECKING,1350,PRIOR_PAYMENTS_DELAYED,APPLIANCES,6038,872.31,5,4,M,GUARANTOR,5,UNKNOWN,58,NONE,FREE,2,3,2,1,1,TO_FILL
382727,-20.38,120,ALL_CREDITS_PAID_BACK,CAR_NEW,331,95.0,0,2,F,NONE,1,REAL_ESTATE,19,NONE,RENT,1,3,1,0,1,TO_FILL
396911,100.29,1519,OUTSTANDING_CREDIT,REPAIRS,4722,5708.02,8,5,F,CO-APPLICANT,3,UNKNOWN,37,NONE,OWN,2,3,1,1,0,TO_FILL
1296257,-265.93,300,PRIOR_PAYMENTS_DELAYED,FURNITURE,1975,628.77,5,2,F,NONE,2,CAR_OTHER,40,STORES,OWN,2,3,2,0,1,TO_FILL
853955,NO_CHECKING,961,OUTSTANDING_CREDIT,VACATION,5879,895.04,5,4,M,NONE,3,SAVINGS_INSURANCE,43,NONE,OWN,1,3,1,1,1,TO_FILL
892220,7500.91,713,CREDITS_PAID_TO_DATE,APPLIANCES,4790,191.23,1,2,M,NONE,2,UNKNOWN,41,NONE,OWN,1,3,1,0,1,TO_FILL
465087,-212.91,120,ALL_CREDITS_PAID_BACK,CAR_USED,828,220.29,0,1,F,NONE,2,REAL_ESTATE,19,STORES,OWN,1,1,1,0,1,TO_FILL
711052,1967.11,868,PRIOR_PAYMENTS_DELAYED,RADIO_TV,3078,479.15,6,3,F,CO-APPLICANT,4,SAVINGS_INSURANCE,33,NONE,OWN,2,3,1,0,1,TO_FILL
415780,NO_CHECKING,1260,PRIOR_PAYMENTS_DELAYED,FURNITURE,5057,UNKNOWN,8,4,F,CO-APPLICANT,4,SAVINGS_INSURANCE,53,NONE,OWN,2,3,1,0,1,TO_FILL
864313,5414.38,1271,PRIOR_PAYMENTS_DELAYED,FURNITURE,1431,737.67,3,2,F,NONE,3,SAVINGS_INSURANCE,19,STORES,FREE,2,3,1,1,1,TO_FILL
120272,7.66,1054,OUTSTANDING_CREDIT,APPLIANCES,4174,885.77,3,4,F,NONE,2,CAR_OTHER,44,NONE,OWN,2,3,1,0,1,TO_FILL
822701,54.51,450,CREDITS_PAID_TO_DATE,CAR_NEW,2701,722.19,0,2,M,NONE,2,REAL_ESTATE,31,NONE,OWN,2,3,1,1,1,TO_FILL
1219719,-258.45,600,CREDITS_PAID_TO_DATE,FURNITURE,2646,532.85,2,3,M,NONE,2,CAR_OTHER,31,NONE,RENT,1,3,1,0,1,TO_FILL
353648,104.7,360,CREDITS_PAID_TO_DATE,CAR_USED,3355,813.98,6,3,M,NONE,2,REAL_ESTATE,19,NONE,RENT,1,3,1,0,1,TO_FILL
257375,-111.77,600,CREDITS_PAID_TO_DATE,RETRAINING,2354,85.26,3,3,F,NONE,2,REAL_ESTATE,39,NONE,OWN,2,3,1,0,1,TO_FILL
1068906,107.06,900,CREDITS_PAID_TO_DATE,RADIO_TV,2368,203.29,5,3,M,NONE,3,REAL_ESTATE,33,NONE,RENT,1,3,1,0,1,TO_FILL
53156,NO_CHECKING,403,ALL_CREDITS_PAID_BACK,FURNITURE,778,37.21,5,2,M,NONE,2,SAVINGS_INSURANCE,22,NONE,RENT,1,3,1,0,1,TO_FILL
1014335,-119.18,660,CREDITS_PAID_TO_DATE,FURNITURE,1190,19.89,6,3,M,NONE,2,SAVINGS_INSURANCE,24,NONE,OWN,1,3,2,1,1,TO_FILL
1295979,NO_CHECKING,1080,PRIOR_PAYMENTS_DELAYED,OTHER,7233,969.87,10,4,M,NONE,2,UNKNOWN,46,NONE,FREE,2,3,1,1,1,TO_FILL
584729,-184.7,390,NO_CREDITS,CAR_NEW,250,85.9,4,2,F,NONE,2,REAL_ESTATE,19,NONE,OWN,1,3,1,0,1,TO_FILL
346694,NO_CHECKING,1023,PRIOR_PAYMENTS_DELAYED,FURNITURE,4331,636.74,6,4,M,NONE,3,CAR_OTHER,45,STORES,OWN,1,3,1,0,1,TO_FILL
934856,50.94,1050,PRIOR_PAYMENTS_DELAYED,RADIO_TV,3410,339.7,3,3,F,NONE,3,REAL_ESTATE,31,NONE,OWN,1,3,1,1,1,TO_FILL
406062,NO_CHECKING,1116,PRIOR_PAYMENTS_DELAYED,RADIO_TV,4843,839.08,7,4,F,NONE,4,CAR_OTHER,49,NONE,OWN,1,3,1,0,0,TO_FILL
289724,-550.42,248,PRIOR_PAYMENTS_DELAYED,FURNITURE,311,9.4,0,1,F,NONE,2,SAVINGS_INSURANCE,39,NONE,OWN,1,3,1,1,1,TO_FILL
1115393,NO_CHECKING,868,PRIOR_PAYMENTS_DELAYED,REPAIRS,6577,138.75,6,4,F,NONE,4,CAR_OTHER,44,NONE,OWN,1,3,1,0,1,TO_FILL
889597,NO_CHECKING,780,PRIOR_PAYMENTS_DELAYED,APPLIANCES,2911,268.31,14,4,M,NONE,5,SAVINGS_INSURANCE,23,NONE,FREE,1,2,1,0,1,TO_FILL
1213907,NO_CHECKING,1240,PRIOR_PAYMENTS_DELAYED,RADIO_TV,9143,18953.87,5,4,M,CO-APPLICANT,5,UNKNOWN,50,NONE,FREE,2,3,2,1,1,TO_FILL
393238,-197.38,124,ALL_CREDITS_PAID_BACK,CAR_NEW,250,11.37,0,1,M,NONE,1,REAL_ESTATE,19,NONE,RENT,1,3,1,0,1,TO_FILL
120296,NO_CHECKING,465,CREDITS_PAID_TO_DATE,RADIO_TV,5356,98.79,7,4,M,NONE,3,SAVINGS_INSURANCE,51,NONE,OWN,2,2,2,0,1,TO_FILL
156538,NO_CHECKING,960,OUTSTANDING_CREDIT,REPAIRS,7418,867.63,15,4,M,CO-APPLICANT,4,UNKNOWN,52,NONE,FREE,2,3,1,1,1,TO_FILL
407754,NO_CHECKING,961,OUTSTANDING_CREDIT,OTHER,5991,10036.67,8,5,M,NONE,4,CAR_OTHER,45,STORES,RENT,1,1,2,1,1,TO_FILL
450530,NO_CHECKING,960,OUTSTANDING_CREDIT,REPAIRS,5613,545.6,11,5,M,CO-APPLICANT,5,CAR_OTHER,44,NONE,FREE,2,2,1,1,1,TO_FILL
805923,NO_CHECKING,899,PRIOR_PAYMENTS_DELAYED,EDUCATION,5940,717.13,5,5,M,NONE,5,CAR_OTHER,41,NONE,OWN,2,2,1,0,1,TO_FILL
264300,NO_CHECKING,990,OUTSTANDING_CREDIT,VACATION,7786,858.01,9,5,M,CO-APPLICANT,5,UNKNOWN,47,NONE,FREE,2,2,2,1,1,TO_FILL
1209006,3.55,270,CREDITS_PAID_TO_DATE,FURNITURE,250,786.1,6,2,M,NONE,1,REAL_ESTATE,30,STORES,OWN,1,3,1,0,1,TO_FILL
596396,-122.19,780,CREDITS_PAID_TO_DATE,FURNITURE,3871,718.4,6,4,M,NONE,3,SAVINGS_INSURANCE,19,BANK,RENT,1,1,1,0,1,TO_FILL
135415,146.75,434,CREDITS_PAID_TO_DATE,CAR_USED,250,22.04,1,3,M,NONE,2,REAL_ESTATE,27,NONE,OWN,1,3,1,0,1,TO_FILL
67582,0,124,ALL_CREDITS_PAID_BACK,CAR_USED,1008,35.95,0,2,F,NONE,3,REAL_ESTATE,19,NONE,RENT,1,2,1,0,1,TO_FILL
134378,NO_CHECKING,720,OUTSTANDING_CREDIT,APPLIANCES,6197,UNKNOWN,6,4,M,NONE,3,CAR_OTHER,45,NONE,OWN,2,3,1,1,1,TO_FILL
1232319,NO_CHECKING,1050,PRIOR_PAYMENTS_DELAYED,OTHER,7969,104.34,7,4,M,NONE,3,UNKNOWN,36,NONE,OWN,1,3,1,0,1,TO_FILL
118415,NO_CHECKING,713,PRIOR_PAYMENTS_DELAYED,CAR_USED,7744,324.04,11,3,M,CO-APPLICANT,4,CAR_OTHER,39,NONE,FREE,2,2,1,0,1,TO_FILL
428549,-229.33,682,CREDITS_PAID_TO_DATE,CAR_NEW,3410,34.71,0,2,F,NONE,2,REAL_ESTATE,22,BANK,RENT,1,0,1,0,1,TO_FILL
349463,NO_CHECKING,806,PRIOR_PAYMENTS_DELAYED,CAR_USED,1475,UNKNOWN,10,4,M,NONE,4,SAVINGS_INSURANCE,46,NONE,OWN,1,3,2,1,1,TO_FILL
304533,7.75,1020,OUTSTANDING_CREDIT,REPAIRS,4593,UNKNOWN,3,3,M,NONE,2,SAVINGS_INSURANCE,39,STORES,OWN,2,1,1,0,1,TO_FILL
896708,NO_CHECKING,1147,OUTSTANDING_CREDIT,RADIO_TV,5550,UNKNOWN,12,4,M,CO-APPLICANT,3,CAR_OTHER,39,BANK,FREE,2,0,2,1,1,TO_FILL
1166267,-114.67,210,CREDITS_PAID_TO_DATE,VACATION,250,571.04,1,2,F,NONE,3,REAL_ESTATE,22,NONE,RENT,1,3,1,0,1,TO_FILL
194391,NO_CHECKING,682,OUTSTANDING_CREDIT,EDUCATION,6081,UNKNOWN,5,4,M,NONE,5,SAVINGS_INSURANCE,36,NONE,OWN,2,3,1,1,1,TO_FILL
479942,77.83,1290,OUTSTANDING_CREDIT,APPLIANCES,3400,717.56,5,4,F,NONE,3,UNKNOWN,48,BANK,OWN,2,0,2,1,1,TO_FILL
41272,9586.66,150,CREDITS_PAID_TO_DATE,CAR_USED,250,94.4,6,3,M,NONE,2,SAVINGS_INSURANCE,42,NONE,RENT,1,3,1,0,1,TO_FILL
1076940,-357.18,124,ALL_CREDITS_PAID_BACK,CAR_NEW,250,6.23,0,1,M,NONE,1,REAL_ESTATE,19,NONE,RENT,1,3,1,0,1,TO_FILL
558648,-112.45,620,CREDITS_PAID_TO_DATE,FURNITURE,1971,81.21,4,3,M,NONE,3,SAVINGS_INSURANCE,28,NONE,RENT,1,3,1,0,1,TO_FILL
225140,NO_CHECKING,1350,OUTSTANDING_CREDIT,VACATION,9759,792.67,9,5,M,CO-APPLICANT,3,CAR_OTHER,48,NONE,FREE,2,3,2,1,1,TO_FILL
847499,NO_CHECKING,690,OUTSTANDING_CREDIT,APPLIANCES,7104,790.99,10,3,F,NONE,3,CAR_OTHER,37,NONE,OWN,2,3,1,1,0,TO_FILL
439586,NO_CHECKING,961,PRIOR_PAYMENTS_DELAYED,RADIO_TV,7098,391.87,7,4,M,NONE,5,UNKNOWN,30,STORES,OWN,1,3,1,1,1,TO_FILL
346718,NO_CHECKING,1080,OUTSTANDING_CREDIT,APPLIANCES,8248,944.37,8,5,M,CO-APPLICANT,5,CAR_OTHER,51,NONE,FREE,3,2,2,1,1,TO_FILL
