ID,SEX,AGE,JOB_TYPE,DEPENDENTS,TELEPHONE,FOREIGN_WORKER,EMPLOYMENT_DURATION,PROPERTY,HOUSING,CURRENT_RESIDENCE_DURATION
24252,M,47.0,3.0,1.0,0.0,1.0,14.0,SAVINGS_INSURANCE,OWN,3.0
1002018,M,19.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,RENT,2.0
1240455,F,50.0,2.0,1.0,1.0,1.0,7.0,UNKNOWN,OWN,3.0
107799,M,35.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,OWN,2.0
184883,M,40.0,1.0,1.0,0.0,1.0,9.0,CAR_OTHER,OWN,4.0
1033240,M,35.0,1.0,1.0,1.0,1.0,12.0,CAR_OTHER,OWN,3.0
301035,F,36.0,3.0,2.0,1.0,1.0,6.0,SAVINGS_INSURANCE,OWN,4.0
1151457,M,52.0,3.0,1.0,0.0,1.0,6.0,CAR_OTHER,OWN,4.0
964887,M,48.0,3.0,1.0,1.0,1.0,4.0,SAVINGS_INSURANCE,OWN,4.0
460617,M,23.0,2.0,2.0,1.0,1.0,3.0,REAL_ESTATE,OWN,3.0
301206,F,42.0,2.0,2.0,1.0,1.0,8.0,CAR_OTHER,FREE,4.0
912129,M,43.0,1.0,2.0,1.0,1.0,2.0,UNKNOWN,OWN,4.0
195800,F,48.0,2.0,1.0,1.0,1.0,5.0,SAVINGS_INSURANCE,OWN,5.0
113023,F,38.0,1.0,1.0,0.0,1.0,4.0,SAVINGS_INSURANCE,OWN,4.0
859337,F,38.0,2.0,1.0,0.0,1.0,2.0,REAL_ESTATE,OWN,4.0
770295,M,44.0,1.0,2.0,1.0,1.0,11.0,CAR_OTHER,FREE,4.0
126440,F,19.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,4.0
900801,F,33.0,3.0,1.0,0.0,1.0,2.0,REAL_ESTATE,OWN,3.0
441510,M,54.0,3.0,2.0,1.0,1.0,12.0,UNKNOWN,FREE,4.0
1184711,M,49.0,3.0,1.0,1.0,0.0,9.0,CAR_OTHER,FREE,4.0
984804,M,33.0,1.0,1.0,0.0,1.0,1.0,REAL_ESTATE,RENT,1.0
70177,M,22.0,1.0,1.0,0.0,1.0,6.0,SAVINGS_INSURANCE,OWN,2.0
789566,F,19.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,2.0
1069119,M,45.0,1.0,2.0,1.0,1.0,2.0,REAL_ESTATE,OWN,2.0
581423,M,41.0,3.0,1.0,0.0,1.0,5.0,REAL_ESTATE,OWN,2.0
401698,M,38.0,2.0,2.0,1.0,1.0,7.0,CAR_OTHER,OWN,5.0
1193175,M,21.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,2.0
442154,M,39.0,1.0,1.0,1.0,,7.0,CAR_OTHER,OWN,2.0
180941,F,34.0,3.0,2.0,1.0,1.0,5.0,UNKNOWN,OWN,4.0
902988,M,39.0,3.0,1.0,0.0,1.0,6.0,SAVINGS_INSURANCE,OWN,2.0
