ID,PAYMENT_TERM,INSTALLMENT_PLANS,INSTALLMENT_PERCENT,LOAN_PURPOSE,LOAN_AMOUNT,OTHERS_ON_LOAN,ALLOW
610339,713.0,STORES,3.0,CAR_USED,3103.0,NONE,1
109167,341.0,STORES,1.0,CAR_NEW,716.0,NONE,1
823322,868.0,NONE,4.0,APPLIANCES,4333.0,NONE,1
322224,310.0,STORES,2.0,FURNITURE,250.0,NONE,1
912693,620.0,NONE,2.0,CAR_USED,2454.0,NONE,0
611201,465.0,BANK,3.0,FURNITURE,2161.0,CO-APPLICANT,1
68415,868.0,NONE,3.0,CAR_USED,4926.0,NONE,0
1131851,360.0,BANK,1.0,VACATION,1742.0,NONE,1
477719,651.0,STORES,2.0,CAR_USED,1730.0,NONE,1
517384,558.0,NONE,2.0,FURNITURE,1345.0,NONE,0
722144,868.0,NONE,4.0,CAR_USED,3942.0,NONE,1
1173799,961.0,NONE,4.0,,4870.0,NONE,1
213726,390.0,NONE,2.0,CAR_USED,3068.0,NONE,1
1110333,360.0,NONE,2.0,CAR_NEW,4144.0,NONE,1
544156,810.0,NONE,3.0,CAR_USED,3521.0,NONE,1
572076,775.0,NONE,3.0,RADIO_TV,4386.0,NONE,0
438755,120.0,NONE,1.0,FURNITURE,1782.0,NONE,1
166456,806.0,STORES,3.0,APPLIANCES,6136.0,NONE,1
379752,960.0,NONE,3.0,RADIO_TV,7663.0,NONE,0
1135792,589.0,BANK,4.0,RADIO_TV,2862.0,NONE,0
50238,1085.0,NONE,3.0,CAR_USED,5208.0,NONE,1
308186,1890.0,NONE,4.0,OTHER,8244.0,CO-APPLICANT,0
109492,1170.0,NONE,5.0,APPLIANCES,4777.0,GUARANTOR,0
1143851,540.0,BANK,2.0,FURNITURE,576.0,NONE,1
541080,930.0,NONE,3.0,FURNITURE,5275.0,NONE,0
103937,660.0,NONE,3.0,CAR_USED,2916.0,NONE,0
172224,961.0,BANK,3.0,RADIO_TV,5096.0,NONE,1
1104731,540.0,NONE,3.0,REPAIRS,4256.0,NONE,1
570019,930.0,NONE,3.0,APPLIANCES,9655.0,NONE,1
1060753,300.0,NONE,4.0,CAR_NEW,4387.0,NONE,0
488185,1333.0,STORES,4.0,APPLIANCES,7252.0,CO-APPLICANT,0
322214,1200.0,NONE,4.0,FURNITURE,5234.0,NONE,0
813740,270.0,STORES,1.0,CAR_NEW,250.0,NONE,1
76717,620.0,NONE,4.0,RETRAINING,2305.0,NONE,0
906848,744.0,NONE,4.0,CAR_USED,3614.0,NONE,1
246910,899.0,NONE,5.0,OTHER,6558.0,NONE,1
286131,390.0,NONE,3.0,CAR_USED,2503.0,NONE,1
628463,372.0,NONE,3.0,FURNITURE,3955.0,NONE,1
535861,120.0,STORES,1.0,CAR_NEW,400.0,NONE,1
360514,124.0,STORES,1.0,CAR_NEW,990.0,NONE,1
272053,990.0,STORES,4.0,APPLIANCES,2641.0,NONE,1
1244252,960.0,STORES,3.0,REPAIRS,3311.0,NONE,1
699301,1290.0,NONE,5.0,RADIO_TV,4400.0,CO-APPLICANT,0
950932,527.0,STORES,2.0,CAR_NEW,250.0,NONE,1
540889,840.0,NONE,5.0,OTHER,7819.0,NONE,1
579378,744.0,NONE,3.0,RADIO_TV,4706.0,NONE,0
1101663,403.0,NONE,3.0,FURNITURE,5354.0,NONE,1
1102563,210.0,NONE,1.0,VACATION,1534.0,NONE,1
777845,990.0,STORES,3.0,FURNITURE,5674.0,NONE,0
942270,360.0,NONE,3.0,EDUCATION,1688.0,NONE,0
835669,496.0,STORES,2.0,FURNITURE,250.0,NONE,1
82616,840.0,STORES,1.0,RADIO_TV,337.0,NONE,1
222500,1110.0,NONE,3.0,APPLIANCES,4893.0,NONE,1
913922,1054.0,NONE,5.0,FURNITURE,4765.0,NONE,0
678797,744.0,NONE,4.0,CAR_USED,6468.0,NONE,1
846754,1364.0,NONE,5.0,OTHER,8760.0,CO-APPLICANT,0
455599,961.0,NONE,5.0,OTHER,4452.0,NONE,1
558052,279.0,NONE,2.0,CAR_NEW,2274.0,NONE,0
767486,527.0,NONE,2.0,RADIO_TV,5493.0,NONE,1
166186,558.0,NONE,4.0,REPAIRS,6332.0,CO-APPLICANT,1
42694,744.0,NONE,3.0,RADIO_TV,4393.0,NONE,1
873527,390.0,STORES,2.0,FURNITURE,250.0,CO-APPLICANT,0
878725,330.0,NONE,3.0,RADIO_TV,4618.0,NONE,1
24252,1080.0,NONE,4.0,APPLIANCES,5927.0,CO-APPLICANT,0
1002018,124.0,STORES,1.0,CAR_NEW,250.0,NONE,1
1240455,930.0,NONE,4.0,EDUCATION,6500.0,NONE,0
107799,527.0,NONE,2.0,CAR_USED,1841.0,NONE,1
184883,1147.0,STORES,3.0,CAR_USED,6616.0,CO-APPLICANT,0
1033240,600.0,BANK,3.0,RETRAINING,3822.0,NONE,0
301035,589.0,NONE,4.0,RADIO_TV,4548.0,NONE,1
1151457,837.0,NONE,3.0,APPLIANCES,4204.0,NONE,1
964887,870.0,NONE,3.0,CAR_USED,5844.0,NONE,1
460617,124.0,NONE,2.0,CAR_USED,2771.0,NONE,1
301206,1147.0,NONE,5.0,OTHER,5799.0,NONE,0
912129,780.0,STORES,3.0,RADIO_TV,4449.0,NONE,0
195800,810.0,NONE,4.0,RADIO_TV,5645.0,NONE,0
113023,899.0,BANK,3.0,FURNITURE,7061.0,NONE,1
859337,713.0,NONE,3.0,EDUCATION,5130.0,NONE,0
770295,1230.0,STORES,5.0,RETRAINING,7089.0,CO-APPLICANT,1
126440,900.0,NONE,3.0,CAR_USED,1102.0,NONE,1
900801,527.0,NONE,2.0,CAR_USED,2817.0,NONE,1
441510,1080.0,NONE,4.0,OTHER,5835.0,CO-APPLICANT,0
1184711,1110.0,NONE,4.0,RADIO_TV,5119.0,CO-APPLICANT,0
984804,589.0,BANK,3.0,CAR_USED,1957.0,NONE,1
70177,496.0,STORES,1.0,APPLIANCES,250.0,NONE,0
789566,558.0,STORES,1.0,FURNITURE,250.0,NONE,1
1069119,780.0,BANK,2.0,RADIO_TV,1631.0,NONE,1
581423,240.0,NONE,3.0,FURNITURE,3733.0,NONE,1
401698,1110.0,NONE,4.0,FURNITURE,8265.0,CO-APPLICANT,0
1193175,558.0,NONE,1.0,CAR_NEW,250.0,NONE,1
442154,1290.0,STORES,3.0,FURNITURE,2668.0,NONE,1
180941,992.0,NONE,3.0,APPLIANCES,4673.0,NONE,0
902988,341.0,NONE,3.0,CAR_NEW,250.0,NONE,0
1152071,690.0,BANK,3.0,RADIO_TV,2897.0,NONE,0
594123,570.0,STORES,2.0,CAR_USED,881.0,NONE,1
437639,600.0,NONE,3.0,CAR_NEW,3786.0,CO-APPLICANT,1
840851,496.0,NONE,3.0,RADIO_TV,250.0,CO-APPLICANT,0
409677,1230.0,NONE,4.0,RADIO_TV,6474.0,CO-APPLICANT,0
100880,744.0,NONE,3.0,EDUCATION,690.0,NONE,1
397874,682.0,NONE,3.0,RADIO_TV,3539.0,NONE,1
1169376,124.0,STORES,1.0,CAR_NEW,250.0,NONE,0
197218,1320.0,NONE,5.0,REPAIRS,6177.0,CO-APPLICANT,0
67376,510.0,NONE,1.0,CAR_NEW,250.0,CO-APPLICANT,1
733357,589.0,NONE,2.0,FURNITURE,1722.0,NONE,1
131731,589.0,NONE,2.0,RETRAINING,250.0,NONE,1
981237,713.0,NONE,2.0,CAR_USED,3161.0,NONE,0
615737,961.0,NONE,5.0,RADIO_TV,5966.0,NONE,1
